algorithm,num_communities,modularity,coverage,performance,avg_size,median_size,min_size,max_size,std_size,avg_diameter,avg_density,avg_clustering,avg_conductance
Louvain,50,0.979357287883554,1.0,0.9901,26.32,26.0,26,27,0.466476151587624,3.54,0.4489846153846153,0.7908804418808135,0.0
Label Propagation,64,0.9651775322428436,0.9851604278074866,0.9907,20.5625,26.0,3,27,8.7711797239596,3.140625,0.5376341867983891,0.6995960495421496,0.0883352120046868
Greedy Modularity,50,0.979357287883554,1.0,0.9901,26.32,26.0,26,27,0.46647615158762407,3.54,0.4489846153846153,0.7908804418808135,0.0
